node_type;x(m);y(m);z(m);central_freq(GHz);primary_channel;min_channel_allowed;max_channel_allowed
0;6.25;5.0;3.4515;2.4;0;0;7
1;11.5006;-2.9942;9.1391;2.4;0;0;7
1;1.046;-1.9202;6.0289;2.4;0;0;7
1;7.0874;-3.2534;5.5819;2.4;0;0;7
1;0.9535;3.0244;5.2285;2.4;0;0;7
1;7.2018;-1.3757;9.1301;2.4;0;0;7
1;2.9968;5.1908;7.4369;2.4;0;0;7
1;11.8917;13.1634;7.3415;2.4;0;0;7
1;4.3816;1.695;9.6273;2.4;0;0;7
1;6.9337;12.7079;4.0948;2.4;0;0;7
1;13.1857;9.951;6.6203;2.4;0;0;7
1;5.0367;9.1102;8.8492;2.4;0;0;7
1;12.9367;2.4569;6.0954;2.4;0;0;7
1;11.3233;-2.9901;7.9586;2.4;0;0;7
1;2.78;13.484;7.5665;2.4;0;0;7
1;10.8088;12.829;3.1661;2.4;0;0;7
1;-3.2267;7.1668;8.1963;2.4;0;0;7
1;5.8505;-3.8269;4.6643;2.4;0;0;7
1;-0.1544;4.5148;8.887;2.4;0;0;7
1;11.9263;1.0939;9.4092;2.4;0;0;7
0;18.75;5.0;8.7121;2.4;0;0;1
1;27.7491;6.6036;4.7544;2.4;0;0;1
1;18.0164;11.6406;8.8072;2.4;0;0;1
1;19.4343;7.8552;9.573;2.4;0;0;1
1;22.4434;4.8147;7.8627;2.4;0;0;1
1;25.6601;1.9723;6.5403;2.4;0;0;1
1;10.422;8.2992;8.1792;2.4;0;0;1
1;11.5806;2.0957;5.2855;2.4;0;0;1
1;20.2752;12.0225;8.7775;2.4;0;0;1
1;22.0227;14.3321;3.0198;2.4;0;0;1
1;19.0414;8.6979;6.0255;2.4;0;0;1
1;21.3838;9.0235;5.8678;2.4;0;0;1
1;20.0396;-3.9667;5.6157;2.4;0;0;1
1;18.733;-4.9247;3.4918;2.4;0;0;1
1;20.9607;-4.3411;5.1859;2.4;0;0;1
0;31.25;5.0;3.6402;2.4;6;6;7
1;23.6147;-0.6061;3.9021;2.4;6;6;7
1;26.2402;6.0008;3.8886;2.4;6;6;7
1;25.419;7.1465;3.2882;2.4;6;6;7
1;35.234;-0.2185;4.8406;2.4;6;6;7
1;27.1505;-3.6149;6.9918;2.4;6;6;7
1;24.0083;-0.7903;9.6521;2.4;6;6;7
1;30.5286;-1.3649;3.1242;2.4;6;6;7
1;31.2634;14.9209;7.563;2.4;6;6;7
1;32.6975;3.881;5.2726;2.4;6;6;7
1;35.4936;1.5585;6.8102;2.4;6;6;7
1;25.9222;9.1287;9.6778;2.4;6;6;7
1;31.6798;7.5795;3.0065;2.4;6;6;7
1;30.0073;-0.3918;5.5202;2.4;6;6;7
1;25.3839;0.3085;6.9093;2.4;6;6;7
1;28.4599;-1.043;3.3132;2.4;6;6;7
1;39.4894;7.0304;3.7674;2.4;6;6;7
1;30.9389;1.1933;9.1676;2.4;6;6;7
1;26.7636;6.1667;3.2344;2.4;6;6;7
0;43.75;5.0;7.2185;2.4;0;0;7
1;34.7062;8.9181;5.8944;2.4;0;0;7
1;41.0919;-0.9824;5.3046;2.4;0;0;7
1;42.1646;-4.5201;3.8573;2.4;0;0;7
1;51.1558;0.6973;7.7282;2.4;0;0;7
1;38.4971;-2.382;3.765;2.4;0;0;7
1;40.3775;12.0128;6.4715;2.4;0;0;7
1;48.3431;8.737;7.48;2.4;0;0;7
1;40.2558;0.3853;8.944;2.4;0;0;7
1;37.7738;-1.3677;4.8948;2.4;0;0;7
1;43.3591;-2.4178;4.5395;2.4;0;0;7
1;40.3006;1.9221;8.4026;2.4;0;0;7
0;6.25;15.0;9.9933;2.4;6;6;7
1;5.1268;21.5775;7.2368;2.4;6;6;7
1;1.1126;21.0721;6.3795;2.4;6;6;7
1;-1.9374;11.8677;4.8477;2.4;6;6;7
1;3.6279;17.1649;5.8898;2.4;6;6;7
1;3.2573;18.4357;9.1915;2.4;6;6;7
1;-0.1173;8.843;8.2996;2.4;6;6;7
1;9.3702;18.111;9.6321;2.4;6;6;7
1;5.7409;5.7733;9.3972;2.4;6;6;7
1;12.2572;15.3488;6.9179;2.4;6;6;7
1;13.1089;12.584;6.7703;2.4;6;6;7
1;5.3098;22.9066;6.3743;2.4;6;6;7
1;13.1566;21.8235;5.6726;2.4;6;6;7
1;3.4041;21.9768;6.1713;2.4;6;6;7
0;18.75;15.0;5.1731;2.4;0;0;3
1;15.5198;23.925;5.4759;2.4;0;0;3
1;20.7996;10.5485;9.693;2.4;0;0;3
1;18.9726;21.9497;8.4101;2.4;0;0;3
1;17.9422;22.964;4.0596;2.4;0;0;3
1;28.5127;15.8585;8.234;2.4;0;0;3
1;19.797;13.5841;3.5446;2.4;0;0;3
1;12.8425;7.1146;3.3963;2.4;0;0;3
1;18.2779;20.0034;7.2277;2.4;0;0;3
1;15.08;19.7007;4.1844;2.4;0;0;3
1;23.1798;18.7234;4.6778;2.4;0;0;3
1;25.9125;14.0653;7.8408;2.4;0;0;3
1;23.0861;7.4252;5.8346;2.4;0;0;3
1;9.8718;15.5314;7.0535;2.4;0;0;3
1;20.2992;22.7316;7.703;2.4;0;0;3
1;24.042;20.1589;5.5346;2.4;0;0;3
1;19.4423;8.4595;8.8945;2.4;0;0;3
1;25.5814;19.0928;6.8067;2.4;0;0;3
1;23.3357;23.3013;8.8967;2.4;0;0;3
1;13.4703;17.4691;9.6213;2.4;0;0;3
0;31.25;15.0;3.4065;2.4;0;0;3
1;27.2227;19.8431;4.062;2.4;0;0;3
1;28.1279;10.637;8.074;2.4;0;0;3
1;28.0596;14.2322;6.2432;2.4;0;0;3
1;37.7446;18.9251;9.3074;2.4;0;0;3
1;38.1217;20.2834;5.086;2.4;0;0;3
1;34.3266;8.116;9.4921;2.4;0;0;3
1;25.8759;21.9017;5.0824;2.4;0;0;3
1;27.2728;16.0787;6.4492;2.4;0;0;3
1;30.4126;18.3537;4.6623;2.4;0;0;3
1;22.1852;13.2489;3.8118;2.4;0;0;3
1;24.1762;21.7481;8.0684;2.4;0;0;3
1;25.0926;21.4084;7.5659;2.4;0;0;3
0;43.75;15.0;9.3722;2.4;0;0;1
1;42.4758;14.2096;5.0001;2.4;0;0;1
1;37.3695;19.3755;6.3405;2.4;0;0;1
1;49.1248;19.0712;5.3122;2.4;0;0;1
1;47.7073;20.2874;4.4675;2.4;0;0;1
1;39.2504;10.3503;3.8568;2.4;0;0;1
1;38.9754;16.5971;6.4524;2.4;0;0;1
1;37.5794;22.5045;8.1919;2.4;0;0;1
1;46.471;22.6057;8.3488;2.4;0;0;1
1;48.3582;16.1584;3.4166;2.4;0;0;1
1;35.789;10.8766;4.1039;2.4;0;0;1
